Date,Open,High,Low,Close,Volume,Value,MktVWAP,Transactions,Adj. Factor
"28-Feb-2025","305700","314659","305700","307437","384k","1.19b","308.58763k","5,114","1",
"27-Feb-2025","316009","318545","311503","311503","243k","761.83m","313.82252k","5,566","1",
"26-Feb-2025","308826","319358","308826","317942","234k","743.31m","317.52237k","3,576","1",
"25-Feb-2025","310434","314888","308801","312581","144k","450.37m","312.07022k","3,472","1",
"24-Feb-2025","305456","312562","305456","308990","200k","618.24m","309.03289k","5,890","1",
"21-Feb-2025","309620","314000","306105","310550","274k","853.12m","310.90982k","5,359","1",
"20-Feb-2025","312500","312506","303914","310500","213k","658.85m","309.57347k","4,148","1",
"19-Feb-2025","313530","319817","311696","312406","366k","1.15b","315.21369k","8,520","1",
"18-Feb-2025","305502","313289","305502","313120","220k","687.03m","312.01723k","4,676","1",
"17-Feb-2025","310000","312025","305043","308964","262k","805.04m","308.06153k","3,596","1",
"14-Feb-2025","313500","314296","306336","307658","239k","734.39m","307.8858k","6,716","1",
"13-Feb-2025","315500","317842","309593","311100","393k","1.22b","311.83345k","10,476","1",
"12-Feb-2025","315000","318613","311777","315479","556k","1.75b","315.49201k","10,142","1",
"11-Feb-2025","315703","316168","312082","313774","277k","867.88m","313.64968k","7,685","1",
"10-Feb-2025","323555","323627","315227","316000","274k","867.61m","317.10345k","5,220","1",
"07-Feb-2025","318499","323608","316137","322500","354k","1.14b","322.1334k","5,326","1",
"06-Feb-2025","311187","319513","310500","317100","347k","1.1b","316.85108k","8,388","1",
"05-Feb-2025","305001","313607","305001","309829","334k","1.04b","310.79899k","8,133","1",
"04-Feb-2025","298871","308028","298063","306978","475k","1.45b","305.72774k","11,904","1",
"03-Feb-2025","297261","298510","291704","297392","231k","683.26m","295.72899k","6,194","1",
"31-Jan-2025","295000","304096","290669","297262","443k","1.32b","297.02556k","8,313","1",
"30-Jan-2025","296958","296958","293102","294617","221k","650.44m","294.70989k","4,044","1",
"29-Jan-2025","290301","298150","290301","296062","292k","864.25m","295.88763k","6,154","1",
"28-Jan-2025","287515","292671","285758","291697","312k","906.3m","290.43819k","7,235","1",
"27-Jan-2025","290100","294622","287511","290950","263k","765.23m","291.05024k","6,601","1",
"24-Jan-2025","293086","295454","290073","292100","350k","1.02b","291.6748k","6,462","1",
"23-Jan-2025","297111","298086","290626","292100","309k","903.92m","292.40873k","7,574","1",
"22-Jan-2025","298500","300240","296648","297801","229k","681.49m","298.20536k","5,467","1",
"21-Jan-2025","300024","301788","296666","297901","316k","944.18m","298.53047k","5,379","1",
"20-Jan-2025","303636","305754","299316","301297","242k","730.15m","301.77256k","5,832","1",
"17-Jan-2025","303179","307094","302118","302184","246k","745.82m","303.50956k","4,997","1",
"16-Jan-2025","302501","307655","299457","303179","261k","787.38m","302.08133k","6,381","1",
"15-Jan-2025","297499","303169","295021","303169","356k","1.07b","300.40976k","8,871","1",
"14-Jan-2025","305524","305524","295260","296736","342k","1.02b","297.69289k","7,802","1",
"13-Jan-2025","305000","306612","296980","299501","389k","1.17b","299.65406k","9,090","1",
"10-Jan-2025","307500","311743","304133","306801","169k","521.69m","307.85332k","3,997","1",
"09-Jan-2025","314882","314882","307593","309450","186k","576.76m","309.51268k","5,124","1",
"08-Jan-2025","321999","321999","310440","311235","214k","667.55m","312.259k","6,371","1",
"07-Jan-2025","314700","320705","314700","318030","155k","493.44m","318.45754k","4,648","1",
"06-Jan-2025","313849","318166","313028","314700","147k","463.2m","315.23032k","4,102","1",
"03-Jan-2025","309803","315225","309002","313655","173k","542.71m","313.30174k","4,962","1",
"02-Jan-2025","311192","317482","309616","311600","145k","453.9m","312.62984k","4,213","1",
"01-Jan-2025","0","0","0","313434","0","0","0","0","1",
"31-Dec-2024","312990","315033","310097","313434","69k","215.81m","312.98319k","1,244","1",
"30-Dec-2024","315127","315826","311184","312991","152k","475.86m","313.26367k","4,837","1",
"27-Dec-2024","316698","316704","311067","316611","121k","382.19m","314.82299k","4,368","1",
"26-Dec-2024","0","0","0","316700","0","0","0","0","1",
"25-Dec-2024","0","0","0","316700","0","0","0","0","1",
"24-Dec-2024","316380","322000","314181","316700","42k","133.96m","316.65738k","858","1",
"23-Dec-2024","317940","323529","314500","317712","162k","514.75m","317.23046k","4,682","1",
"20-Dec-2024","317550","325560","314751","317639","863k","2.74b","317.70534k","6,410","1",
"19-Dec-2024","324162","329620","315595","318573","910k","2.89b","316.92462k","8,267","1",
"18-Dec-2024","326239","328305","323165","325552","406k","1.32b","326.14445k","8,654","1",
"17-Dec-2024","334549","336491","325865","326210","340k","1.12b","328.28866k","9,651","1",
"16-Dec-2024","0","0","0","332891","0","0","0","0","1",
"13-Dec-2024","327550","335068","326709","332891","213k","708.78m","332.08838k","6,871","1",
"12-Dec-2024","330101","332832","327910","329667","162k","533.68m","330.04942k","5,068","1",
"11-Dec-2024","330255","333967","325613","330678","206k","678.94m","329.50271k","7,872","1",
"10-Dec-2024","331663","334416","328645","331547","149k","494.29m","331.11992k","5,528","1",
"09-Dec-2024","327484","338294","327149","331663","154k","508.03m","330.93135k","4,262","1",
"06-Dec-2024","329899","335325","327120","331682","151k","501.32m","331.90275k","4,838","1",
"05-Dec-2024","323001","339000","323001","328855","201k","663.61m","329.47682k","5,655","1",
"04-Dec-2024","322200","329876","322200","325311","287k","937.3m","326.23789k","7,616","1",
"03-Dec-2024","324000","326000","320134","322677","403k","1.3b","323.45516k","10,331","1",
"02-Dec-2024","325115","327593","322510","325120","131k","426.63m","325.39774k","4,976","1",
"29-Nov-2024","326781","328283","323437","326118","288k","938.54m","326.20071k","4,370","1",
"28-Nov-2024","330999","331724","326368","326781","242k","794.16m","327.7828k","4,876","1",
"27-Nov-2024","333327","339000","328245","329634","217k","718.49m","331.07601k","5,111","1",
"26-Nov-2024","328686","338170","328686","335973","102k","343.96m","335.94757k","3,756","1",
"25-Nov-2024","338507","338507","331953","332722","328k","1.09b","333.43397k","5,998","1",
"22-Nov-2024","335111","340960","334338","336182","147k","496.41m","337.12142k","5,122","1",
"21-Nov-2024","336500","338876","330546","337700","216k","726.89m","336.32938k","5,236","1",
"20-Nov-2024","327715","334938","323365","334000","202k","672.36m","333.15374k","6,871","1",
"19-Nov-2024","325600","329421","323368","328710","164k","536.97m","327.62737k","4,604","1",
"18-Nov-2024","328000","328000","321054","324842","208k","674.11m","324.56282k","4,515","1",
"15-Nov-2024","325200","328071","321922","324978","234k","758.31m","324.37721k","6,405","1",
"14-Nov-2024","329627","335539","326612","327500","167k","552.23m","330.3014k","5,329","1",
"13-Nov-2024","332675","332675","323088","327977","233k","761.39m","326.81885k","5,966","1",
"12-Nov-2024","324871","329147","323904","329147","268k","879.28m","327.83268k","6,383","1",
"11-Nov-2024","330280","332181","326100","327702","108k","353.85m","328.2592k","4,076","1",
"08-Nov-2024","326001","332759","326001","329537","100k","331.13m","329.73583k","3,223","1",
"07-Nov-2024","331500","333874","329200","330995","200k","662.53m","331.2194k","4,539","1",
"06-Nov-2024","330091","331986","324368","327422","267k","875.08m","327.15178k","7,202","1",
"05-Nov-2024","322232","330846","322232","330800","341k","1.12b","329.17454k","7,823","1",
"04-Nov-2024","323650","326960","321557","325000","306k","995.3m","325.24681k","7,616","1",
"01-Nov-2024","317801","324564","315545","323650","285k","917.72m","321.75939k","6,799","1",
"31-Oct-2024","318300","321000","312563","317077","439k","1.39b","317.64029k","7,701","1",
"30-Oct-2024","309730","317081","309412","316234","462k","1.46b","315.54466k","6,817","1",
"29-Oct-2024","323799","323799","308506","313312","363k","1.14b","313.15005k","9,848","1",
"28-Oct-2024","320000","320373","316869","318154","304k","967.94m","318.55524k","7,465","1",
"25-Oct-2024","321550","323887","317122","317122","244k","778.82m","318.6049k","6,881","1",
"24-Oct-2024","315211","322571","315211","322149","186k","597.02m","321.37451k","4,937","1",
"23-Oct-2024","320032","323239","316614","318870","1m","3.94b","319.74658k","5,581","1",
"22-Oct-2024","320600","324297","316427","319271","399k","1.27b","319.42821k","8,796","1",
"21-Oct-2024","323005","328315","321020","323659","186k","602.21m","324.42924k","5,329","1",
"18-Oct-2024","326855","329899","325542","326000","225k","735.83m","326.89188k","7,351","1",
"17-Oct-2024","328979","328979","324201","327410","247k","806.54m","326.94326k","7,829","1",
"16-Oct-2024","325300","328721","322800","326000","305k","994.79m","325.77655k","6,161","1",
"15-Oct-2024","323289","328464","321314","328464","346k","1.13b","326.46666k","7,615","1",
"14-Oct-2024","322499","325035","319729","322061","194k","622.94m","321.91543k","5,585","1",
"11-Oct-2024","314998","322526","311010","321000","425k","1.35b","319.09257k","8,197","1",
"10-Oct-2024","311300","317478","310145","313200","388k","1.22b","314.45768k","7,510","1",
"09-Oct-2024","307152","309399","303362","308700","183k","562.59m","307.1067k","4,586","1",
"08-Oct-2024","307800","311254","300165","307152","351k","1.08b","308.16327k","6,530","1",
"07-Oct-2024","309485","315413","305686","307626","270k","833.3m","308.7532k","7,702","1",
"04-Oct-2024","311045","311342","306138","308058","222k","683.09m","308.04964k","6,919","1",
"03-Oct-2024","310567","319450","306405","309060","301k","934.13m","310.12853k","8,225","1",
"02-Oct-2024","312499","318665","307669","312900","338k","1.06b","314.2134k","8,812","1",
"01-Oct-2024","309250","314993","306030","308466","398k","1.23b","309.77234k","10,567","1",
"30-Sep-2024","310257","310257","303440","304451","356k","1.09b","304.93382k","6,333","1",
"27-Sep-2024","310000","312426","306788","309519","237k","735.08m","309.95672k","7,863","1",
"26-Sep-2024","308120","312217","306685","310076","308k","952.73m","309.85033k","7,540","1",
"25-Sep-2024","298916","314674","298916","306500","349k","1.07b","306.24034k","11,766","1",
"24-Sep-2024","0","0","0","307823","0","0","0","0","1",
"23-Sep-2024","303369","310402","303369","307823","145k","445.63m","308.15478k","4,901","1",
"20-Sep-2024","300495","308400","300432","305146","368k","1.12b","305.37545k","5,741","1",
"19-Sep-2024","299501","304779","298594","301601","618k","1.86b","300.64091k","7,462","1",
"18-Sep-2024","301499","301499","298125","299500","174k","521.81m","299.70593k","6,282","1",
"17-Sep-2024","299000","302000","297784","300600","193k","580.19m","300.30664k","5,582","1",
"16-Sep-2024","298345","300662","296203","298250","127k","378.71m","298.26734k","4,692","1",
"13-Sep-2024","305000","305485","297999","299259","190k","568.67m","299.54015k","5,307","1",
"12-Sep-2024","304000","304618","298949","301500","199k","599.46m","301.17733k","6,143","1",
"11-Sep-2024","302399","302399","296422","300595","289k","868.37m","300.50673k","8,246","1",
"10-Sep-2024","295433","301353","290317","300595","239k","715.03m","299.41594k","6,328","1",
"09-Sep-2024","287450","300845","284050","295425","334k","988.04m","295.51239k","8,301","1",
"06-Sep-2024","290000","292892","286898","287666","314k","906.46m","288.19049k","6,165","1",
"05-Sep-2024","291636","292067","285000","290706","270k","784.51m","290.3972k","5,392","1",
"04-Sep-2024","288900","292082","285105","289647","321k","929.67m","289.70143k","9,221","1",
"03-Sep-2024","294278","296186","289000","289000","210k","611.39m","290.43939k","4,214","1",
"02-Sep-2024","290854","294278","287679","294278","164k","480.09m","293.17773k","3,478","1",
"30-Aug-2024","297772","297772","290481","292594","333k","975.13m","292.67571k","5,074","1",
"29-Aug-2024","294499","296142","290084","294921","143k","420.36m","294.54847k","4,637","1",
"28-Aug-2024","292913","297739","291538","291538","216k","632.47m","293.12472k","5,247","1",
"27-Aug-2024","292000","296723","289145","295850","327k","962.83m","294.91172k","11,540","1",
"26-Aug-2024","288900","294157","286669","292500","174k","507.84m","291.54683k","6,188","1",
"23-Aug-2024","288000","293127","283848","288800","307k","882.89m","288.17044k","8,661","1",
"22-Aug-2024","288384","290800","282451","284900","300k","855.58m","285.11687k","9,741","1",
"21-Aug-2024","290398","290398","286744","289040","181k","521.14m","288.49344k","4,433","1",
"20-Aug-2024","288500","293500","286203","288001","202k","582.19m","288.87352k","7,044","1",
"19-Aug-2024","285720","290735","283797","288000","367k","1.06b","288.0922k","10,000","1",
"16-Aug-2024","282800","288150","282800","283486","426k","1.21b","284.61504k","9,677","1",
"15-Aug-2024","283000","288298","280567","282600","300k","854.16m","284.63562k","7,575","1",
"14-Aug-2024","274000","285787","274000","283380","257k","726.32m","282.76532k","6,758","1",
"13-Aug-2024","273555","277320","272141","277125","308k","847.69m","275.75541k","6,416","1",
"12-Aug-2024","273508","277553","269800","273565","274k","747.18m","272.55009k","8,468","1",
"09-Aug-2024","0","0","0","276700","0","0","0","0","1",
"08-Aug-2024","279500","279500","274832","276700","375k","1.04b","276.6385k","6,886","1",
"07-Aug-2024","280586","281228","272776","280000","262k","732.72m","279.78892k","5,687","1",
"06-Aug-2024","280099","280159","274156","278502","240k","664.46m","276.86439k","7,656","1",
"05-Aug-2024","279184","279381","269001","276397","394k","1.08b","274.45895k","11,471","1",
"02-Aug-2024","282378","288395","280630","281500","332k","937.78m","282.50584k","8,895","1",
"01-Aug-2024","283358","285802","278925","285802","222k","632m","284.52105k","5,004","1",
"31-Jul-2024","277000","284882","276992","283600","402k","1.14b","283.083k","9,495","1",
"30-Jul-2024","276000","279984","276000","276644","192k","531.86m","277.35398k","4,419","1",
"29-Jul-2024","277904","279296","276000","277480","168k","465.56m","277.51397k","4,991","1",
"26-Jul-2024","276824","277904","273596","277904","179k","494.57m","276.80932k","3,960","1",
"25-Jul-2024","273499","278300","269378","276824","223k","612.52m","274.34442k","7,525","1",
"24-Jul-2024","272198","276081","272193","274200","326k","894.23m","274.36911k","6,133","1",
"23-Jul-2024","271578","276099","269518","273380","385k","1.05b","273.34523k","5,508","1",
"22-Jul-2024","270046","272560","266374","271578","224k","607.04m","270.63794k","7,136","1",
"19-Jul-2024","268201","270053","263743","270053","226k","607.18m","268.54369k","5,498","1",
"18-Jul-2024","269000","271691","266834","268200","346k","930.13m","268.65491k","8,758","1",
"17-Jul-2024","277274","277274","266500","269770","467k","1.26b","269.9642k","13,435","1",
"16-Jul-2024","278500","280194","273233","277274","481k","1.33b","276.3348k","10,761","1",
"15-Jul-2024","274000","278819","271901","278819","516k","1.43b","277.2481k","7,178","1",
"12-Jul-2024","270126","279950","269280","273225","269k","734.87m","273.37457k","7,162","1",
"11-Jul-2024","262704","270694","260779","269390","306k","822.58m","268.78323k","7,439","1",
"10-Jul-2024","261526","266390","260296","262703","239k","628.19m","262.43297k","6,239","1",
"09-Jul-2024","263066","267432","260531","263500","223k","586.88m","263.19556k","5,308","1",
"08-Jul-2024","263661","265295","262928","264057","186k","491.8m","264.11434k","3,582","1",
"05-Jul-2024","263862","265680","262001","263661","178k","469.32m","264.27127k","5,671","1",
"04-Jul-2024","269499","269500","263204","265500","199k","528.23m","265.71172k","4,239","1",
"03-Jul-2024","269449","269449","263069","266377","265k","705.3m","266.48605k","5,967","1",
"02-Jul-2024","265600","268181","260958","262900","298k","783.96m","263.09174k","6,964","1",
"01-Jul-2024","268500","274817","265532","265532","442k","1.19b","268.67625k","10,182","1",
"28-Jun-2024","255884","264825","251123","262900","391k","1.02b","261.77009k","10,912","1",
"27-Jun-2024","254001","259652","247012","253500","359k","918.22m","255.35573k","8,404","1",
"26-Jun-2024","257007","260185","254001","256340","313k","805.67m","257.1427k","6,388","1",
"25-Jun-2024","256500","260398","254819","257196","302k","775.54m","256.99369k","7,603","1",
"24-Jun-2024","259565","260658","250870","256900","419k","1.08b","256.80678k","10,770","1",
"21-Jun-2024","261300","264020","255092","259996","732k","1.9b","260.05823k","8,100","1",
"20-Jun-2024","265349","265349","253234","258211","767k","1.96b","255.73519k","7,678","1",
"19-Jun-2024","259000","268507","258994","259652","500k","1.31b","262.30429k","12,234","1",
"18-Jun-2024","239739","259662","239735","258921","1m","2.75b","255.85858k","23,790","1",
"17-Jun-2024","0","0","0","237310","0","0","0","0","1",
"14-Jun-2024","220000","238631","220000","237310","701k","1.65b","235.01753k","16,074","1",
"13-Jun-2024","222375","225367","220444","225234","428k","960.71m","223.79663k","7,753","1",
"12-Jun-2024","218501","224345","218501","221973","378k","842.06m","222.71351k","8,750","1",
"11-Jun-2024","216500","221338","215357","221338","324k","711.62m","219.69552k","6,322","1",
"10-Jun-2024","214000","218607","214000","215860","306k","662.63m","216.21453k","6,284","1",
"07-Jun-2024","214000","220303","214000","218501","142k","310.45m","218.30646k","3,159","1",
"06-Jun-2024","219412","219412","214214","217314","177k","384.85m","216.96432k","4,506","1",
"05-Jun-2024","223000","223000","214192","217000","270k","585.68m","216.70821k","7,199","1",
"04-Jun-2024","222000","224736","217786","219843","242k","534.94m","221.03221k","7,541","1",
"03-Jun-2024","215000","222726","214500","222726","373k","820.73m","220.22144k","7,433","1",
"31-May-2024","212961","218921","212755","212990","778k","1.67b","214.02701k","8,065","1",
"30-May-2024","222146","223265","214250","216462","337k","730.71m","216.61486k","8,693","1",
"29-May-2024","0","0","0","224403","0","0","0","0","1",
"28-May-2024","226400","226499","221698","224403","262k","587.26m","223.96121k","6,650","1",
"27-May-2024","226554","226554","223422","224664","123k","276.06m","224.64733k","3,218","1",
"24-May-2024","226000","227478","224228","226561","247k","560.02m","226.33045k","5,800","1",
"23-May-2024","226259","229000","225426","226000","270k","612.65m","226.9856k","9,448","1",
"22-May-2024","229998","229998","225053","226743","260k","591.35m","227.01826k","8,820","1",
"21-May-2024","225750","229140","225750","227944","285k","649.41m","227.66062k","5,393","1",
"20-May-2024","227500","229020","224648","229020","282k","642.58m","228.18817k","6,570","1",
"17-May-2024","225551","228241","224398","227000","233k","528.83m","226.69805k","5,612","1",
"16-May-2024","228898","229602","224177","228321","277k","632.21m","228.03023k","6,673","1",
"15-May-2024","226399","228047","224106","226877","269k","610.74m","226.6876k","6,924","1",
"14-May-2024","227000","231587","227000","228000","264k","604.43m","228.8006k","5,848","1",
"13-May-2024","235499","235499","226742","228944","278k","636.86m","229.02628k","7,520","1",
"10-May-2024","229632","231911","228474","229437","307k","707.22m","230.14894k","7,233","1",
"09-May-2024","225301","230489","225301","228674","250k","571.86m","228.69855k","4,625","1",
"08-May-2024","230475","230475","225674","228000","299k","680.63m","227.55873k","8,347","1",
"07-May-2024","226100","230567","226094","230517","246k","562.61m","228.98788k","5,985","1",
"06-May-2024","229783","229783","224650","225785","275k","623.38m","226.30313k","4,938","1",
"03-May-2024","227378","232137","225029","227000","402k","913.3m","227.13157k","8,037","1",
"02-May-2024","234135","236716","228853","229000","447k","1.04b","231.87095k","9,369","1",
"01-May-2024","0","0","0","232786","0","0","0","0","1",
"30-Apr-2024","229500","233990","227464","232786","406k","942.73m","232.26379k","7,755","1",
"29-Apr-2024","224000","229851","223405","229851","310k","708.43m","228.59214k","5,238","1",
"26-Apr-2024","212648","223967","212648","223967","269k","593.89m","221.11765k","5,292","1",
"25-Apr-2024","216500","218087","214641","216217","276k","596.31m","216.26695k","6,351","1",
"24-Apr-2024","218500","219061","214955","215746","387k","838.69m","216.588k","7,196","1",
"23-Apr-2024","206000","220188","204028","217378","737k","1.59b","215.7718k","14,879","1",
"22-Apr-2024","200100","203720","199521","201666","373k","752.68m","201.90021k","9,171","1",
"19-Apr-2024","201499","201703","196415","200000","285k","567.96m","198.9702k","7,961","1",
"18-Apr-2024","200917","202030","196116","201710","429k","858.15m","200.18415k","9,825","1",
"17-Apr-2024","201040","203943","197181","198150","332k","660.18m","198.68422k","8,213","1",
"16-Apr-2024","204500","204500","198726","201000","382k","767.67m","200.84696k","8,652","1",
"15-Apr-2024","206500","207850","204345","204345","361k","743.69m","205.79829k","7,387","1",
"12-Apr-2024","214810","214810","201190","204107","361k","739.5m","204.77471k","13,006","1",
"11-Apr-2024","212490","215848","208254","211875","719k","1.52b","211.67963k","11,901","1",
"10-Apr-2024","220000","221498","209795","212490","429k","913.6m","213.23036k","9,889","1",
"09-Apr-2024","221939","222516","218881","220000","585k","1.29b","221.09378k","10,379","1",
"08-Apr-2024","217200","222165","216859","222029","311k","685.84m","220.81247k","7,033","1",
"05-Apr-2024","217545","219929","213680","219929","383k","833.34m","217.91546k","8,435","1",
"04-Apr-2024","206001","219556","206001","217545","245k","529.25m","216.41488k","6,070","1",
